Total,20506,335,20171,4337,15834,25479,349,25130,4708,20422,2520,60,2460,704,1756,18551,246,18305,3487,14818,4408,43,4365,517,3848
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3775,78,3697,993,2704,4726,81,4645,1097,3548,561,15,546,173,373,3347,51,3296,786,2510,818,15,803,138,665
Vaud,2032,42,1990,276,1714,2586,43,2543,310,2233,271,6,265,55,210,1839,28,1811,211,1600,476,9,467,44,423
Valais,601,15,586,325,261,776,15,761,378,383,95,2,93,45,48,512,10,502,268,234,169,3,166,65,101
Genève,1142,21,1121,392,729,1364,23,1341,409,932,195,7,188,73,115,996,13,983,307,676,173,3,170,29,141
,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4512,79,4433,911,3522,5693,82,5611,992,4619,467,8,459,115,344,4199,66,4133,774,3359,1027,8,1019,103,916
Berne,2534,50,2484,550,1934,3134,53,3081,600,2481,258,5,253,66,187,2345,41,2304,475,1829,531,7,524,59,465
Fribourg,615,13,602,126,476,821,13,808,133,675,66,0,66,13,53,584,13,571,104,467,171,0,171,16,155
Soleure,843,9,834,114,720,1084,9,1075,118,957,80,1,79,15,64,794,7,787,96,691,210,1,209,7,202
Neuchâtel,361,6,355,72,283,454,6,448,83,365,48,1,47,16,31,321,5,316,56,260,85,0,85,11,74
Jura,159,1,158,49,109,200,1,199,58,141,15,1,14,5,9,155,0,155,43,112,30,0,30,10,20
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2672,30,2642,475,2167,3270,33,3237,499,2738,347,8,339,86,253,2374,20,2354,371,1983,549,5,544,42,502
Bâle-Ville,472,4,468,102,366,567,4,563,107,456,106,2,104,27,77,359,2,357,70,287,102,0,102,10,92
Bâle-Campagne,736,7,729,125,604,904,9,895,130,765,88,2,86,30,56,662,4,658,91,567,154,3,151,9,142
Argovie,1464,19,1445,248,1197,1799,20,1779,262,1517,153,4,149,29,120,1353,14,1339,210,1129,293,2,291,23,268
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3225,35,3190,557,2633,3837,37,3800,608,3192,410,9,401,117,284,2789,23,2766,411,2355,638,5,633,80,553
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2971,48,2923,620,2303,3752,49,3703,674,3029,326,9,317,86,231,2720,38,2682,518,2164,706,2,704,70,634
Glaris,120,5,115,23,92,169,5,164,28,136,19,1,18,4,14,107,4,103,17,86,43,0,43,7,36
Schaffhouse,166,0,166,52,114,186,0,186,55,131,30,0,30,6,24,137,0,137,44,93,19,0,19,5,14
Appenzell Rh.-Ext.,118,1,117,29,88,146,2,144,29,115,21,0,21,5,16,104,1,103,23,80,21,1,20,1,19
Appenzell Rh.-Int.,33,1,32,8,24,38,1,37,8,29,2,0,2,1,1,30,1,29,7,22,6,0,6,0,6
Saint-Gall,1331,20,1311,354,957,1678,20,1658,384,1274,145,5,140,58,82,1214,14,1200,287,913,319,1,318,39,279
Grisons,566,13,553,92,461,737,13,724,101,623,54,2,52,7,45,516,11,505,80,425,167,0,167,14,153
Thurgovie,637,8,629,62,567,798,8,790,69,721,55,1,54,5,49,612,7,605,60,545,131,0,131,4,127
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,2197,46,2151,449,1702,2759,48,2711,489,2222,267,7,260,75,185,2035,35,2000,363,1637,457,6,451,51,400
Lucerne,1155,22,1133,245,888,1472,22,1450,263,1187,151,2,149,39,110,1085,18,1067,201,866,236,2,234,23,211
Uri,149,3,146,40,106,196,3,193,49,144,14,1,13,5,8,136,2,134,34,100,46,0,46,10,36
Schwytz,348,10,338,32,306,424,10,414,35,379,45,1,44,8,36,320,8,312,23,289,59,1,58,4,54
Obwald,110,2,108,24,84,132,2,130,24,106,3,0,3,2,1,110,2,108,20,88,19,0,19,2,17
Nidwald,88,3,85,13,72,101,3,98,13,85,8,1,7,2,5,82,1,81,10,71,11,1,10,1,9
Zoug,347,6,341,95,246,434,8,426,105,321,46,2,44,19,25,302,4,298,75,223,86,2,84,11,73
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,1154,19,1135,332,803,1442,19,1423,349,1074,142,4,138,52,86,1087,13,1074,264,810,213,2,211,33,178
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,20736,336,20400,4366,16034,25913,357,25556,4780,20776,2414,59,2355,638,1717,18777,250,18527,3583,14944,4722,48,4674,559,4115
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3872,63,3809,948,2861,4955,69,4886,1068,3818,489,10,479,131,348,3540,49,3491,803,2688,926,10,916,134,782
Vaud,2043,38,2005,280,1725,2687,42,2645,321,2324,234,4,230,41,189,1900,32,1868,234,1634,553,6,547,46,501
Valais,591,14,577,318,259,795,16,779,386,393,77,3,74,37,37,543,10,533,283,250,175,3,172,66,106
Genève,1238,11,1227,350,877,1473,11,1462,361,1101,178,3,175,53,122,1097,7,1090,286,804,198,1,197,22,175
,,,,,,,,,,,,,,,,,,,,,,,,,
